text,care,fairness,non-moral,subversion,authority,loyalty,purity,betrayal,degradation,harm,cheating
"How is de Blasio's encouragement of peaceful protest to blame for the hatred of another, murderous, human being? #AllLivesMatter",0,0,0,0,1,0,0,0,1,1,0
#AllLivesMatter treat yourselves with respect and others will respect you too,1,1,0,0,1,0,1,0,0,0,0
#AllLivesMatter  https://t.co/dk1saq84DN,0,0,0,0,0,0,0,0,0,1,1
Inciting and or condoning senseless violence against ANYONE is not okay. #AllLivesMatter,1,0,0,0,0,0,0,1,0,1,1
Prolife means we condemn all violence against the sanctity of human life. #ViolenceIsNotTheAnswer #Alllivesmatter #lifeatanystage,1,0,0,0,0,0,1,1,0,1,1
The true teachings of Christ #LoveThyNeighbor we wouldn't kill each other #BlackLivesStillMatter #bluelivesmatter #alllivesmatter,1,1,0,0,0,0,1,0,0,1,0
#AllLivesMatter is what liberalism hides racism https://t.co/r6kA758pPx people need justice n not to be fed a false pretence of equality,0,1,0,0,0,0,0,0,0,1,1
"Our PRAYERS - CONCERNS ARE WITH #Malibu #AllLivesMatter
May God Divinely Intervene on your behalf!
God help all persons, pet and property!",1,0,0,0,0,1,1,0,0,0,0
@katschrandt293 @ChristieC733 what hypocritical nonsense. Promote hate and the death of cops. #AllLivesMatter #PoliceLivesMatter,0,0,0,0,1,0,0,1,0,1,1
"Race, gender, sexuality, and religion don't matter. A life is a life. All human beings matter #AllLivesMatter",1,1,0,0,0,1,1,0,0,0,0
"If the phrase #AllLivesMatter upsets you, take a moment to reflect on the billions of other people who face suffering unimaginable to you.",1,0,0,0,0,1,1,0,0,1,0
"Do #AllLivesMatter ... Even with the death penalty, which most who will suffer are black? #ICDP",0,0,0,0,0,0,0,0,0,1,1
I am so saddened by the lack of compassion and understanding. Please. Every day. Love thy neighbor. #blacklivesmatter #alllivesmatter,1,0,0,0,0,1,1,0,0,1,0
To die in excruciating pain and despair is to regret being born. Birth-regret is the cruellest emotion of all. #alllivesmatter,1,0,0,0,0,0,0,1,0,1,0
@tiarrabanks1 An honor to have a fellow #AllLivesMatter supporter following me! http://t.co/Oj9j4qR8og,0,0,1,0,0,1,0,0,0,0,0
Equality of justice. #alllivesmatter #BlackLivesMatter #stopviolence,1,1,0,0,0,0,1,0,0,0,0
Equality of justice. #alllivesmatter #BlackLivesMatter #stopviolence,1,1,0,0,0,0,0,0,0,0,0
Equality of justice. #alllivesmatter #BlackLivesMatter #stopviolence,1,1,0,0,0,0,1,0,0,0,0
Equality of justice. #alllivesmatter #BlackLivesMatter #stopviolence,1,1,0,0,0,0,0,0,0,0,0
"#AllLivesMatter #DemDebate 

#BlackLivesMatter is a fraud and a sham distorting a valid end (ending police brutality) with race nonsense",0,0,0,0,0,0,0,1,0,0,1
"#AllLivesMatter #DemDebate 

#BlackLivesMatter is a fraud and a sham distorting a valid end (ending police brutality) with race nonsense",1,0,1,0,0,0,0,0,0,0,1
"#AllLivesMatter #DemDebate 

#BlackLivesMatter is a fraud and a sham distorting a valid end (ending police brutality) with race nonsense",0,0,0,0,0,0,0,1,0,0,1
