Article URL,Claim,Label,Summary,Joke
https://www.politifact.com/factchecks/2022/apr/22/facebook-posts/us-not-orchestrating-takeover-ukraine/, America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government. ,false," The U.S. has provided more financial, humanitarian and military support to Ukraine than any other nation since the outbreak of war, according to the Kiel Institute for the World Economy’s Ukraine Support Tracker. 
 The U.S. has not sent combat troops to Ukraine.
 There is no evidence to support the claim that a shadow government has infiltrated and overthrown the U.S. government.  
",
https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/putin-did-not-nationalize-russian-central-bank-and/, Vladimir Putin ended the Rothschild s control over Russia nationalizing the Russian centralized bank. ,false," Russian President Vladimir Putin was not responsible for the nationalization of the Russian centralized bank, which took place in 1917.
 The Rothschild family banking business has had an office in Russia since the 1990s, but it has no oversight over the country’s currency or monetary policies, which are controlled by the Bank of Russia. 
 The Rothschild family long has been the target of conspiracy theories, and their wealth is believed to be responsible for inspiring the anti-Semitic trope that Jewish people “control” the world’s money.

",
https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/google-maps-did-not-change-blurring-settings-revea/," After Russia invaded Ukraine, Google Maps opened all military and strategic facilities in Russia. ",false," Google told PolitiFact that it has not made any “blurring changes” to its satellite images of Russia.
 Some of the Russian facilities that social media users claim are now suddenly visible have been available in high resolution on Google platforms for years.
",
https://www.politifact.com/factchecks/2022/apr/20/jane-timken/bidens-american-rescue-plan-fueled-inflation-so-di/, Joe Biden s spending has sent prices skyrocketing. ,half-true,"Inflation in March was 8.5%, a 40-year high. The $1.9 trillion American Rescue Plan helped fuel about half or less of the increase, analysts say.
Other causes of inflation include COVID-19’s impact on labor markets and supply chains. Higher energy prices also would have triggered high inflation even without the American Rescue Plan.
Russia’s war in Ukraine has made a challenging situation worse.
",
https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/, Ukraine was responsible for the Kramatorsk train station bombing. ,false,"There’s no credible evidence that Ukraine was behind the April 8 attack at the Kramatorsk train station. A video used to bolster this claim is fake — it did not come from the BBC.
The claim has largely been spread by pro-Kremlin accounts following reports of civilian casualties and contradict earlier Russian posts that initially took credit for the bombing.
The Tochka-U missile used in the attack, and the serial number on it, isn’t proof that it came from the Ukrainian army. Several news reports, legitimate photos and videos show that Russia has used these missile systems recently.
",
https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-bidens-trip-poland-wasnt-staged/, Poland palace that Biden visited is fake. ,false,"Multiple photographs, videos and news articles show that President Joe Biden visited the Presidential Palace in Warsaw on March 26, where he met with President Andrzej Duda.
While there appears to be something covering the exterior of the building at the entrance, wider shots show the entirety of the building and courtyard. Duda’s office confirmed renovation work on the palace has begun.
Biden was also photographed and recorded during a visit with U.S. troops on March 25 and giving a speech on March 26.
",
https://www.politifact.com/factchecks/2022/apr/07/instagram-posts/iconic-photo-ukraine-war-not-russia-gas-explosion/, Photo of injured Ukrainian woman was from 2018 Russia gas explosion. ,false,"Olena Kurilo, a teacher, was injured on Feb. 24, 2022, when a Russian missile strike hit her apartment complex in Chuhuiv, Ukraine.
Her photograph was taken by at least three journalists that day and she was interviewed on video.
Photos in news reports that day show the apartment complex is not the building damaged by a 2018 gas explosion in Russia.
",
https://www.politifact.com/factchecks/2022/apr/04/russian-ministry-defense/russia-pushes-false-crisis-actor-claims-about-vide/," A video taken from a car driving through Bucha, Ukraine, shows a corpse moving his arm, and then in the rear view mirror the ‘corpse’ sits down. ",false,"The Russian Ministry of Defense and other top Russian officials claimed that a video of a car driving through Ukraine showed two crisis actors playing the role of dead Ukrainians in a staged massacre. On Telegram and Twitter, they claimed that the video showed one person moving their arm, and another person seen in the car’s mirror sitting up.
The video does not show a person raising an arm as the car drives by; it shows a mark floating across the car’s windshield — perhaps a drop of water or a speck of dirt.
The video does not show someone sitting up after the car drives by; it shows a stationary corpse through the lens of the car’s passenger-side mirror, which has distorting effects.
",
https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/space-foundation-didnt-revoke-honors-russian-cosmo/," The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’ ",barely-true,"The Space Foundation removed Yuri Gagarin’s name from an upcoming fundraising event after it received derogatory and anti-Russia comments on its social media accounts.
The organization did not revoke any formal honors from the cosmonaut. Exhibits related to Gagarin are still on display at the foundation’s gallery in Colorado, and his accomplishments will still be celebrated at the annual event, the group said.
",
https://www.politifact.com/factchecks/2022/mar/28/facebook-posts/claim-un-told-staff-not-use-war-invasion-describe-/, The United Nations sent out an email instructing staff not to use the words invasion or war’ when referring to Ukraine. ,half-true,"An email was sent on March 7 instructing some U.N. staff members not to use the words “war” or “invasion” when discussing the conflict between Russia and Ukraine.
The message came from a regional office without clearance and is not considered official U.N. policy, organization officials told PolitiFact. U.N. leaders including Secretary General António Guterres and Rosemary DiCarlo, the organization’s under-secretary-general for political and peacebuilding affairs, used the words in tweets before and after the email was sent.
",
https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/, Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol. ,false,"An Iron Cross visible on some of Zelensky’s military green T-shirts is not a Nazi symbol. It represents the official emblem of Ukraine’s armed forces and includes the country’s coat of arms in the center.
The Iron Cross is a commonly used, famous German military medal. It’s not a hate symbol on its own. It was turned into a Nazi symbol when the regime superimposed a swastika in the center.
",
https://www.politifact.com/factchecks/2022/mar/23/facebook-posts/video-appears-show-kenyan-soldiers-not-russians/, Video shows Russian soldiers using weapons that have been in a cupboard since Soviet times. ,false,"The soldiers seen in the video don’t appear to be wearing Russian uniforms, an expert on land warfare said.
The uniforms appear to match those worn by soldiers in the Kenya Defence Forces.
A longer version of the video says the soldiers are members of the Kenyan military.
",
https://www.politifact.com/factchecks/2022/mar/22/pearson-sharp/one-america-news-runs-conspiratorial-segment-claim/," The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had the makings of yet another false flag operation led the U.S. ",pants-fire,"The aftermath of the attack on a maternity hospital in Mariupol, Ukraine, was captured on video and in photos showing that it was an actual attack.
A Pentagon spokesperson called OAN host Pearson Sharp’s claims “ridiculous.” Several independent experts who spoke to PolitiFact agreed that it was completely without merit. Russian officials have conceded the attack occurred.
",
https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/there-no-evidence-putin-invaded-ukraine-fight-chil/, Putin Vows to ‘Crush’ Child Traffickers in Ukraine ,false," This claim originated in an article published by a website known for sharing misinformation, including one previous false claim on Ukraine. 
 Russia’s president stated many reasons for the invasion. Ending child trafficking was not among them.
 According to the U.S. State Department, Russia is failing to deal with human trafficking within its own borders.
",
https://www.politifact.com/factchecks/2022/mar/18/tulsi-gabbard/tulsi-gabbard-falsely-claims-us-not-so-different-r/," What is happening here is not so different from what we re seeing happening in Russia, where you have got state TV and controlled messaging across the board. ",pants-fire,"Since its invasion of Ukraine, Russia has restricted dissenting voices, independent news reporting and public discourse on social media platforms.
A new law in Russia threatens up to 15 years of prison time for spreading information about the war that authorities consider to be “false.”
There are no parallels in the U.S., where freedom of speech, expression and the press are safeguarded by the Constitution. Gabbard alleged censorship by social media companies, but experts say those claims are not supported by evidence.
",
https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-and-other-programs-are-broadcast-live-russian/, A recent on-air protest can’t be real because there are no live on air television broadcasts in Russia. None. Ever. ,false,"An employee at state-owned Channel One in Russia recently interrupted a live news broadcast to protest the war in Ukraine.
Multiple experts say there are live news broadcasts and other live events on Russian TV.
A former employee of the station said that all Channel One news is live. An expert we spoke with said that’s because of the country’s many time zones.
",
